disease,symptoms,precautions,advice,recommended_doctor
Marfan Syndrome,weakness,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Meniere's Disease,dizziness|hearing loss,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Non-Drug Pain Management,back pain|swelling,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Nose Injuries and Disorders,runny nose,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Ovarian Disorders,diarrhea|nausea,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Pelvic Floor Disorders,cough,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Retinal Disorders,high blood pressure,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Throat Cancer,ear pain|sore throat,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Usher Syndrome,balance problems|hearing loss,consult a qualified doctor,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Vaginal Cancer,constipation,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Vaginal Diseases,itching,consult a qualified doctor|rest,"Book a consultation with a Gynecologist if symptoms persist, worsen, or interfere with daily life.",Gynecologist
Vulvar Cancer,itching,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Anabolic Steroids,depression|fatigue|high blood pressure|loss of appetite,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Balance Problems,balance problems|blurred vision|confusion,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Caffeine,anxiety|dehydration|dizziness|headache|heartburn|high blood pressure|nausea|weight gain,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Carbon Monoxide Poisoning,chest pain|confusion|dizziness|headache|nausea|vomiting|weakness,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Pulmonologist if available.,Pulmonologist
